job_profile_id,job_profile,job_hierarchy,job_level_name,compensation_grade,job_family_groups,job_family_name,job_category,sales_indicator
10020000,"Analyst, Accounting (P4 – N23)",Professional/Technical,P4 – N23,,Finance,Accounting,Professional,N - Non-Sales
10020001,"Analyst, Accounting (P4 – E24)",Professional/Technical,P4 – E24,,Finance,Accounting,Professional,N - Non-Sales
10020002,"Analyst, Administration & Secretarial (P4 – N23)",Professional/Technical,P4 – N23,,Business Support,Administration & Secretarial,Professional,N - Non-Sales
10020003,"Analyst, Administration & Secretarial (P4 – E24)",Professional/Technical,P4 – E24,,Business Support,Administration & Secretarial,Professional,N - Non-Sales
10020004,"Analyst, Advertising & Promotions (P4 – N23)",Professional/Technical,P4 – N23,,Marketing,Advertising & Promotions,Professional,N - Non-Sales
